"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 25 01:38:57 MSK 2024","Sun Feb 25 01:38:57 MSK 2024","327","","OrderCreationTest","","OrderCreationTest","orderCreateByScooterColor[1]","Создать заказ с разным цветом скутера",""
"passed","Sun Feb 25 01:38:50 MSK 2024","Sun Feb 25 01:38:51 MSK 2024","724","","CourierLoginTest","","CourierLoginTest","checkLoginCourierIncorrectPasswordResponse404","Проверка входа с не валидным паролем",""
"passed","Sun Feb 25 01:38:55 MSK 2024","Sun Feb 25 01:38:55 MSK 2024","287","","CreateCourierTest","","CreateCourierTest","createCourierEmptyRequiredLoginResponse400","Создаем курьера с пустым логином",""
"passed","Sun Feb 25 01:38:51 MSK 2024","Sun Feb 25 01:38:52 MSK 2024","712","","CourierLoginTest","","CourierLoginTest","checkCourierCanLoginWithValidCredentialsResponse200","Проверка входа с валидными данными",""
"passed","Sun Feb 25 01:38:58 MSK 2024","Sun Feb 25 01:39:17 MSK 2024","19497","","OrderGettingListTest","","OrderGettingListTest","checkListOfOrdersContainedInResponse","Проверка, что список заказов содержится в теле ответа",""
"passed","Sun Feb 25 01:38:57 MSK 2024","Sun Feb 25 01:38:58 MSK 2024","347","","OrderCreationTest","","OrderCreationTest","orderCreateByScooterColor[3]","Создать заказ с разным цветом скутера",""
"failed","Sun Feb 25 01:38:55 MSK 2024","Sun Feb 25 01:38:56 MSK 2024","656","","CreateCourierTest","","CreateCourierTest","createCourierWithLoginThatAlreadyExistsResponse409","Создаём еще одного курьера с логином, который уже существует",""
"passed","Sun Feb 25 01:38:57 MSK 2024","Sun Feb 25 01:38:57 MSK 2024","331","","OrderCreationTest","","OrderCreationTest","orderCreateByScooterColor[2]","Создать заказ с разным цветом скутера",""
"passed","Sun Feb 25 01:38:54 MSK 2024","Sun Feb 25 01:38:55 MSK 2024","295","","CreateCourierTest","","CreateCourierTest","createCourierEmptyRequiredPasswordResponse400","Создаем курьера с пустым паролем",""
"passed","Sun Feb 25 01:38:52 MSK 2024","Sun Feb 25 01:38:53 MSK 2024","659","","CourierLoginTest","","CourierLoginTest","checkLoginCourierWithInvalidCredentialsResponse400","Проверка входа с пустыми логином и паролем",""
"passed","Sun Feb 25 01:38:44 MSK 2024","Sun Feb 25 01:38:50 MSK 2024","5727","","CourierLoginTest","","CourierLoginTest","checkLoginCourierWitEmptyPasswordResponse400","Проверка входа с пустым паролем",""
"passed","Sun Feb 25 01:38:52 MSK 2024","Sun Feb 25 01:38:52 MSK 2024","676","","CourierLoginTest","","CourierLoginTest","checkLoginCourierWitEmptyLoginResponse400","Проверка входа с пустым логином",""
"passed","Sun Feb 25 01:38:53 MSK 2024","Sun Feb 25 01:38:54 MSK 2024","636","","CourierLoginTest","","CourierLoginTest","checkLoginCourierIncorrectLoginNameResponse404","Проверка входа с не валидным логином",""
"passed","Sun Feb 25 01:38:54 MSK 2024","Sun Feb 25 01:38:54 MSK 2024","708","","CreateCourierTest","","CreateCourierTest","createCourierOnlyRequiredFieldsResponse201","Создаём курьера, заполнив все обязательные поля",""
"passed","Sun Feb 25 01:38:56 MSK 2024","Sun Feb 25 01:38:57 MSK 2024","426","","OrderCreationTest","","OrderCreationTest","orderCreateByScooterColor[0]","Создать заказ с разным цветом скутера",""
"failed","Sun Feb 25 01:38:56 MSK 2024","Sun Feb 25 01:38:56 MSK 2024","614","","CreateCourierTest","","CreateCourierTest","createTwoIdenticalCouriersResponse409","Создаём двух одинаковых курьеров",""
